UserID,Name_Uni,Rating
1,Hanoi University of Technology:,5
1,Military Technical Academy:,4
1,"University of Technology, University of Da Nang:",4
1,"Polytechnic University, National University of Ho Chi Minh City:",1
1,"University of Industrial Technology, Thai Nguyen University:",0
1,University of Transport:,2
1,Hai Phong University:,1
1,Hanoi University of Mining and Geology:,3
1,Hanoi University of Agriculture:,3
1,University of Transport Technology,3
1,Irrigation University:,0
1,Construction University:,2
1,Forestry University:,3
1,Electricity University:,5
1,University of Economic and Technical Industry:,0
1,Hanoi University of Industry:,1
1,Quang Ninh Industrial University:,1
1,Viet Hung University of Industry:,4
1,Viet Tri University of Industry:,2
1,Bac Giang University of Agriculture and Forestry:,3
1,Sao Do University,2
1,Hung Yen University of Technical Education,1
1,Nam Dinh University of Technical Education,4
1,Vinh University of Technical Education,5
1,Vinh University of Industry,4
1,Central Construction University,3
1,Nha Trang University,4
1,Ho Chi Minh City University of Industry,0
1,Ho Chi Minh City University of Food Industry,2
1,Ho Chi Minh City University of Transport,0
1,Ho Chi Minh City University of Agriculture and Forestry,2
1,Ho Chi Minh City University of Technical Education,0
1,Tran Dai Nghia University,0
1,Vietnam Maritime University,4
1,Ngo Quyen University,0
1,Ho Chi Minh City University of Technology and Technology,0
1,Long An University of Economics and Industry,3
1,Binh Duong University of Economics and Technology,2
1,Lac Hong University,5
1,Nguyen Tat Thanh University,2
1,Saigon University of Technology,5
1,Can Tho University,5
1,Hanoi Medical University,2
1,Ho Chi Minh City University of Medicine and Pharmacy,1
1,Hanoi University of Pharmacy,4
1,Military Medical Academy,5
1,Thai Binh University of Medicine and Pharmacy,0
1,Can Tho University of Medicine and Pharmacy,4
1,Hue University of Medicine and Pharmacy,2
1,Pham Ngoc Thach Medical University,1
1,Faculty of Medicine - Ho Chi Minh City National University,3
1,Vietnam Traditional Medicine and Pharmacy Institute,3
1,Hai Phong University of Medicine and Pharmacy,3
1,Vinh Medical University,2
1,University of Medicine and Pharmacy - Thai Nguyen University,5
1,HA NOI PHARMACEUTICAL DEPARTMENT,5
1,University of Economic and Technical Industry,4
1,Thanh Tay University,5
1,Forestry University (Campus 1),5
1,Hanoi University of Science and Technology ...,0
1,University of Technology - The University of Da Nang,2
1,Can Tho University,4
1,Nha Trang University,3
1,Nghe An University of Economics,1
1,The University of Ba Ria - Vung Tau ...,0
1,Vietnam National Academy of Music,4
1,Vietnam University of Fine Arts,3
1,Central University of Art Education,0
1,Hue Academy of Music,0
1,Ho Chi Minh City Conservatory of Music,4
1,Ho Chi Minh City University of Fine Arts,1
1,Military Culture - Art University,0
1,Hanoi University of Theater and Cinema,4
1,Northwestern College of Culture and Arts,5
1,Dong Nai College of Decorative Arts,2
1,Industrial Art University,0
1,Asian University of Industrial Fine Arts,2
1,Ho Chi Minh City University of Theater and Cinema,1
1,Vietnam Dance Academy,3
1,Viet Bac College of Culture and Arts,4
1,An College of Culture and Arts,5
1,Hanoi University of Education,1
